,id,name,unit,sourceNote,sourceOrganization,topics,source.id,source.value
11,1.0.PSev.Poor4uds,Severidad de la Pobreza ($4 al día),,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
12,1.1.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día)-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
13,1.1.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día)-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
14,1.1.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día)-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
15,1.1.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,"[{'id': '11', 'value': 'Pobreza'}]",37,
16,1.1.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día)-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
17,1.1.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día)-Rural,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
18,1.1.PGap.1.90usd,Brecha de Pobreza ($1.90 al día)-Rural,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
19,1.1.PGap.2.5usd,Brecha de Pobreza ($2.50 al día)-Rural,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
20,1.1.PGap.Poor4uds,Brecha de Pobreza ($4 al día)-Rural,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
21,1.1.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día)-Rural,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
22,1.1.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día)-Rural,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
23,1.1.PSev.Poor4uds,Severidad de la Pobreza ($4 al día)-Rural,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
24,1.1_ACCESS.ELECTRICITY.TOT,,,,,[],35,
25,1.1_TOTAL.FINAL.ENERGY.CONSUM,,,,,[],35,
26,1.1_YOUTH.LITERACY.RATE,,,,,[],34,
27,1.2.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día)-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
28,1.2.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día)-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
29,1.2.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día)-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
30,1.2.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,"[{'id': '11', 'value': 'Pobreza'}]",37,
31,1.2.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día)-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
32,1.2.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día)-Urbano,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
33,1.2.PGap.1.90usd,Brecha de Pobreza ($1.90 al día)-Urbano,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
34,1.2.PGap.2.5usd,Brecha de Pobreza ($2.50 al día)-Urbano,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
35,1.2.PGap.Poor4uds,Brecha de Pobreza ($4 al día)-Urbano,,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
36,1.2.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día)-Urbano,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
37,1.2.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día)-Urbano,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
38,1.2.PSev.Poor4uds,Severidad de la Pobreza ($4 al día)-Urbano,,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
39,1.2_ACCESS.ELECTRICITY.RURAL,,,,,[],35,
40,1.3_ACCESS.ELECTRICITY.URBAN,,,,,[],35,
41,100000,,,,,[],71,
42,1000000,,,,,[],78,
43,110000,,,,,[],71,
44,110100,,,,,[],71,
45,1101000,,,,,[],78,
46,110110,,,,,[],71,
47,1101100,,,,,[],78,
48,110111,,,,,[],71,
49,1101110,,,,,[],78,
50,110112,,,,,[],71,
51,1101120,,,,,[],78,
52,110113,,,,,[],71,
53,1101130,,,,,[],78,
54,110114,,,,,[],71,
55,1101140,,,,,[],78,
56,110115,,,,,[],71,
57,1101150,,,,,[],78,
58,110116,,,,,[],71,
59,1101160,,,,,[],78,
60,110117,,,,,[],71,
61,1101170,,,,,[],78,
62,110118,,,,,[],71,
63,1101180,,,,,[],78,
64,110119,,,,,[],71,
65,1101190,,,,,[],78,
66,110120,,,,,[],71,
67,1101200,,,,,[],78,
68,110200,,,,,[],71,
69,1102000,,,,,[],78,
70,110210,,,,,[],71,
71,1102100,,,,,[],78,
72,110220,,,,,[],71,
73,1102200,,,,,[],78,
74,110300,,,,,[],71,
75,1103000,,,,,[],78,
76,110400,,,,,[],71,
77,110500,,,,,[],71,
78,1105000,,,,,[],78,
79,110600,,,,,[],71,
80,110700,,,,,[],71,
81,1107000,,,,,[],78,
82,110710,,,,,[],71,
83,1107100,,,,,[],78,
84,110730,,,,,[],71,
85,1107300,,,,,[],78,
86,110800,,,,,[],71,
87,1108000,,,,,[],78,
88,111100,,,,,[],71,
89,1111000,,,,,[],78,
90,111300,,,,,[],71,
91,1113000,,,,,[],78,
92,130000,,,,,[],71,
93,1300000,,,,,[],78,
94,140000,,,,,[],71,
95,1400000,,,,,[],78,
96,150000,,,,,[],71,
97,1500000,,,,,[],78,
98,150100,,,,,[],71,
99,1501000,,,,,[],78,
100,1501100,,,,,[],78,
101,1501200,,,,,[],78,
102,1501300,,,,,[],78,
103,150200,,,,,[],71,
104,1502000,,,,,[],78,
105,150300,,,,,[],71,
106,1503000,,,,,[],78,
107,1600000,,,,,[],78,
108,160100,,,,,[],71,
109,160200,,,,,[],71,
110,170000,,,,,[],71,
111,2.0.cov.Cel,Tasa de Cobertura: Teléfono móvil,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
112,2.0.cov.Ele,Tasa de Cobertura: Electricidad,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
113,2.0.cov.FPS,Tasa de Cobertura: Finalización de la Educación Primaria,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '4', 'value': 'Educación'}]",37,
114,2.0.cov.Int,Tasa de Cobertura: Internet ,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
115,2.0.cov.Math.pl_2.all,Tasa de Cobertura: Competencia en Matemáticas Nivel 2,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
116,2.0.cov.Math.pl_2.prv,"Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
117,2.0.cov.Math.pl_2.pub,"Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
118,2.0.cov.Math.pl_3.all,Tasa de Cobertura: Competencia en Matemáticas Nivel 3,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
119,2.0.cov.Math.pl_3.prv,"Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
120,2.0.cov.Math.pl_3.pub,"Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
121,2.0.cov.Read.pl_2.all,Tasa de Cobertura: Competencia en Lectura Nivel 2,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
122,2.0.cov.Read.pl_2.prv,"Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
123,2.0.cov.Read.pl_2.pub,"Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
124,2.0.cov.Read.pl_3.all,Tasa de Cobertura: Competencia en Lectura Nivel 3,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
125,2.0.cov.Read.pl_3.prv,"Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
126,2.0.cov.Read.pl_3.pub,"Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
127,2.0.cov.San,Tasa de Cobertura: Saneamiento,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
128,2.0.cov.Sch,Tasa de Cobertura: Matrícula Escolar,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
129,2.0.cov.Scie.pl_2.all,Tasa de Cobertura: Competencia en Ciencias Nivel 2,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
130,2.0.cov.Scie.pl_2.prv,"Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
131,2.0.cov.Scie.pl_2.pub,"Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
132,2.0.cov.Scie.pl_3.all,Tasa de Cobertura: Competencia en Ciencias Nivel 3,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
133,2.0.cov.Scie.pl_3.prv,"Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Privadas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
134,2.0.cov.Scie.pl_3.pub,"Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Públicas",,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,"[{'id': '11', 'value': 'Pobreza'}]",37,
135,2.0.cov.Wat,Tasa de Cobertura: Agua,,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
136,2.0.hoi.Cel,IOH: Teléfono móvil,,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
